Department Name,Municipality Name,Temperature
CHOCÓ,JURADO,29
CHOCÓ,LLORO,27
CHOCÓ,BETE,27
CHOCÓ,PUERTO MELUK,27
CHOCÓ,ANDAGOYA,27
CHOCÓ,NOVITA,27
CHOCÓ,NUQUI,25
CHOCÓ,SANTA RITA,27
CHOCÓ,PAIMADO,27
CHOCÓ,RIOSUCIO,18
CHOCÓ,SAN JOSE DEL PALMAR,18
CHOCÓ,SIPI,27
CHOCÓ,TADO,27
CHOCÓ,UNGUIA,27
CHOCÓ,ANIMAS,27
HUILA,NEIVA,27
HUILA,ACEVEDO,21
HUILA,AGRADO,23
HUILA,AIPE,28
HUILA,ALGECIRAS,25
HUILA,ALTAMIRA,24
HUILA,BARAYA,27
HUILA,CAMPOALEGRE,26
HUILA,COLOMBIA,25
HUILA,ELIAS,21
HUILA,GARZON,23
HUILA,GIGANTE,23
HUILA,GUADALUPE,18
HUILA,HOBO,26
HUILA,IQUIRA,25
HUILA,SAN JOSE DE ISNOS,18
HUILA,LA ARGENTINA,18
HUILA,LA PLATA,23
HUILA,NATAGA,18
HUILA,OPORAPA,20
HUILA,PAICOL,23
HUILA,PALERMO,26
HUILA,PALESTINA,21
HUILA,PITAL,23
HUILA,PITALITO,21
HUILA,RIVERA,25
HUILA,SALADOBLANCO,21
HUILA,SAN AGUSTIN,18
HUILA,SANTA MARIA,23
HUILA,SUAZA,23
HUILA,TARQUI,25
HUILA,TESALIA,24
HUILA,TELLO,27
HUILA,TERUEL,25
HUILA,TIMANA,23
HUILA,VILLAVIEJA,28
HUILA,YAGUARA,27
LA GUAJIRA,RIOHACHA, DISTRITO ESPECIAL, TURISTICO Y CULTURAL,29
LA GUAJIRA,ALBANIA,25
LA GUAJIRA,BARRANCAS,28
LA GUAJIRA,DIBULLA,28
LA GUAJIRA,DISTRACCION,27
LA GUAJIRA,EL MOLINO,27
LA GUAJIRA,FONSECA,28
LA GUAJIRA,HATONUEVO,27
LA GUAJIRA,LA JAGUA DEL PILAR,29
LA GUAJIRA,MAICAO,29
LA GUAJIRA,MANAURE,29
LA GUAJIRA,SAN JUAN DEL CESAR,27
LA GUAJIRA,URIBIA,29
LA GUAJIRA,URUMITA,27
LA GUAJIRA,VILLANUEVA,27
MAGDALENA,SANTA MARTA, DISTRITO TURISTICO, CULTURAL E HISTORICO,28
MAGDALENA,ALGARROBO,27
MAGDALENA,ARACATACA,27
MAGDALENA,EL DIFICIL,27
MAGDALENA,CERRO DE SAN ANTONIO,27
MAGDALENA,CHIVOLO,27
MAGDALENA,CIENAGA,29
MAGDALENA,CONCORDIA,18
MAGDALENA,EL BANCO,29
MAGDALENA,EL PIÑON,27
MAGDALENA,EL RETEN,27
MAGDALENA,FUNDACION,27
MAGDALENA,GUAMAL,29
MAGDALENA,GRANADA,18
MAGDALENA,PEDRAZA,29
MAGDALENA,PIJIÑO,29
MAGDALENA,PIVIJAY,27
MAGDALENA,PLATO,29
MAGDALENA,PUEBLOVIEJO,29
MAGDALENA,REMOLINO,27
MAGDALENA,SAN ANGEL,27
MAGDALENA,SALAMINA,18
MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,29
MAGDALENA,SAN ZENON,29
MAGDALENA,SANTA ANA,29
MAGDALENA,SANTA BARBARA DE PINTO,29
MAGDALENA,SITIONUEVO,27
MAGDALENA,TENERIFE,29
MAGDALENA,PUNTA DE PIEDRAS,29
MAGDALENA,PRADO - SEVILLA,27
META,VILLAVICENCIO,24
META,ACACIAS,25
META,BARRANCA DE UPIA,27
META,CABUYARO,27
META,CASTILLA LA NUEVA,25
META,CUBARRAL,25
META,CUMARAL,25
META,EL CALVARIO,12
META,EL CASTILLO,25
META,EL DORADO,25
META,FUENTE DE ORO,25
META,GRANADA,18
META,GUAMAL,29
META,MAPIRIPAN,25
META,MESETAS,25
META,LA MACARENA,27
META,URIBE,24
META,LEJANIAS,23
META,PUERTO CONCORDIA,25
META,PUERTO GAITAN,27
META,PUERTO LOPEZ,27
META,PUERTO LLERAS,25
META,PUERTO RICO,29
META,RESTREPO,24
META,SAN CARLOS DE GUAROA,25
META,SAN JUAN DE ARAMA,25
META,SAN JUANITO,14
META,SAN MARTIN,28
META,VISTAHERMOSA,27
NARIÑO,SAN JUAN DE PASTO,14
NARIÑO,SAN JOSE,18
NARIÑO,ALDANA,10
NARIÑO,ANCUYA,18
NARIÑO,BERRUECOS,14
NARIÑO,BARBACOAS,25
NARIÑO,BELEN,14
NARIÑO,BUESACO,18
NARIÑO,GENOVA,18
NARIÑO,CONSACA,18
NARIÑO,CONTADERO,14
NARIÑO,CORDOBA,29
NARIÑO,CARLOSAMA,10
NARIÑO,CUMBAL,10
NARIÑO,CUMBITARA,18
NARIÑO,CHACHAGÜI,
NARIÑO,EL CHARCO,27
NARIÑO,EL PEÑOL,18
NARIÑO,EL ROSARIO,25
NARIÑO,EL TABLON DE GOMEZ,18
NARIÑO,EL TAMBO,18
NARIÑO,FUNES,14
NARIÑO,GUACHUCAL,10
NARIÑO,GUAITARILLA,14
NARIÑO,GUALMATAN,10
NARIÑO,ILES,10
NARIÑO,IMUES,14
NARIÑO,IPIALES,10
NARIÑO,LA CRUZ,14
NARIÑO,LA FLORIDA,16
NARIÑO,LA LLANADA,14
NARIÑO,LA TOLA,27
